,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,pose
row_0,487.7550614806575,550.8983572311683,593.2731242859396,663.4342469303194,738.9106847244801,535.0084111488342,478.1683803849853,743.1745750300039,743.3895344972244,730.0,879.0500554575946,989.2320253610878,749.9873332263686,877.0461789438456,980.7201435679804,498.6551914900716,487.7550614806575,520.5247352431967,477.7970280359642,1036.881864052024,1028.7643073124184,1004.6392387319938,1020.9079292472951,1029.5693274374485,1012.9501468483037,2
row_1,1410.332230362761,1337.0673131895792,1274.6548552451366,1132.4720747108954,1093.7591142477397,1382.985177071685,1420.0327461013003,1501.5325504297268,1115.6330041729673,1044.7889739081286,943.8273147138729,922.8672710633962,1172.4035141537233,1041.0235347964042,966.8298712803613,1433.240035723256,1451.704170965972,1392.0793799205562,1471.3752070766993,926.6461028893393,949.0732321586148,980.5860492582995,896.8439106109826,896.8439106109826,912.9342802195566,2
row_2,3255.8111124572324,3003.0166499704924,2868.071477491452,2754.426619098792,2496.673386728829,3329.9611108840295,3582.823467602053,3969.703767285413,2591.69307596405,2378.4719884833626,2596.713692342689,790.4804128162561,2798.2458791178447,2859.8195747284476,923.4141987108429,3297.98256514494,3360.531654366612,3194.621886859226,3426.9978114962373,975.5708415954293,974.866534903743,935.7731703286104,789.2594645531603,794.1783243773126,803.7967387468432,2
row_3,197.101496696499,240.15411718311222,275.6174885597792,336.29302698688235,393.15391388106514,211.3409567499873,158.54967675779096,121.70866854912184,340.4717315725345,349.44813635216315,449.480811603788,539.0009276429865,331.90510692063776,442.64884502277874,533.5775482532974,193.8788281375767,197.101496696499,225.49722836434154,569.461772433292,553.8239792569477,548.0,539.557225880629,559.6972395858318,553.1383190486806,546.2984532286358,2
row_4,552.2513988988476,593.8088918162139,579.3323743758845,508.36916282144443,485.74080053884484,588.8098164942564,622.9454229705841,652.4492317414437,704.3869675114667,720.1472071736445,821.8223652347264,917.0414385402657,689.2154960533027,807.1728439436005,924.4311764539316,555.6192857136945,552.7307144343027,535.5837936308379,522.6030998759958,931.429009640563,931.429009640563,924.4311764539316,946.52680891774,939.3109176412249,939.3109176412249,2
row_5,197.101496696499,240.15411718311222,275.6174885597792,336.29302698688235,393.15391388106514,211.3409567499873,158.54967675779096,121.70866854912184,340.4717315725345,349.44813635216315,449.480811603788,539.0009276429865,331.90510692063776,442.64884502277874,533.5775482532974,193.8788281375767,197.101496696499,225.49722836434154,569.461772433292,553.8239792569477,548.0,539.557225880629,559.6972395858318,553.1383190486806,546.2984532286358,2
row_6,552.2513988988476,576.366966010931,545.6005865099487,508.36916282144443,485.74080053884484,622.220758846714,706.5689153840887,743.1745750300039,664.4885251078456,666.087832046195,824.1947585370826,957.0731424504608,651.3839113763864,811.3112842799612,958.1842202833441,555.6192857136945,552.7307144343027,453.7763766438266,569.461772433292,985.0142130954254,985.0142130954254,972.4248042907997,997.1283768903581,983.2456458078012,970.9582895263833,2
row_7,195.04102132628407,253.64542179980305,267.44158240632663,325.77906623968335,375.31053808812777,248.3646512690564,307.8246253956951,330.92597359530424,355.87778801155883,358.62096982747676,451.9347298006649,558.2436743931811,359.5622338344226,453.54161881794266,542.0332093147061,195.47378340841516,195.04102132628407,225.42404485768594,569.461772433292,578.6898996872159,578.6898996872159,557.826137788469,584.0898903422315,573.9982578370774,568.317692844416,2
row_8,248.07257002740147,297.7129489961765,311.2699792784392,508.36916282144443,485.74080053884484,282.39157211220027,261.8110005328271,743.1745750300039,428.5463802203911,429.84764742871397,537.2671588697749,652.282914079466,434.6596369574704,530.5544269912372,659.0295896240168,239.14012628582432,239.20075250717753,551.9123737134424,252.46187831036985,690.5186456570162,684.7159995209693,678.4460184863642,671.5720363445756,684.2229168918562,684.7159995209693,2
row_9,552.2513988988476,1111.7666121988013,541.3725861545839,508.36916282144443,485.74080053884484,1055.8546301456465,706.5689153840887,743.1745750300039,947.6623871400616,987.0866223386881,950.5030247190168,903.2319746333164,897.3215700070962,851.5638555035083,886.8331297374947,555.6192857136945,552.7307144343027,551.9123737134424,569.461772433292,903.9319664665035,903.9319664665035,886.2352960698418,903.9319664665035,920.6019769694176,920.6019769694176,2
